date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate,Re,infections,observations,in_CI,above_1,block_size,exp_name
2020-05-19,1.0727006286800056,1.1819284284733966,0.9634728288866146,1,1.1,174,220,TRUE,TRUE,14,14
2020-05-20,1.0965008398727203,1.2077321636843696,0.985269516061071,1,1.1,157,154,TRUE,TRUE,14,14
2020-05-21,1.1188034128735032,1.2330367154687683,1.004570110278238,1,1.1,175,169,TRUE,TRUE,14,14
2020-05-22,1.134249838313366,1.248457741884667,1.0200419347420648,1,1.1,175,112,TRUE,TRUE,14,14
2020-05-23,1.1411019198466394,1.2518466181716796,1.0303572215215993,1,1.1,191,256,TRUE,TRUE,14,14
2020-05-24,1.1433703842935696,1.2521149337977482,1.034625834789391,1,1.1,188,99,TRUE,TRUE,14,14
2020-05-25,1.1464285581318694,1.2568036495012926,1.0360534667624461,1,1.1,188,80,TRUE,TRUE,14,14
2020-05-26,1.1524416663827404,1.2677100173054061,1.0371733154600746,1,1.1,211,210,TRUE,TRUE,14,14
2020-05-27,1.158621631526851,1.2808631720988852,1.0363800909548166,1,1.1,186,123,TRUE,TRUE,14,14
2020-05-28,1.1602605437022115,1.2866886642170143,1.0338324231874088,1,1.1,187,235,TRUE,TRUE,14,14
2020-05-29,1.154213502348163,1.279416147932198,1.029010856764128,1,1.1,220,206,TRUE,TRUE,14,14
2020-05-30,1.1399085783585026,1.2609581633844855,1.0188589933325196,1,1.1,185,152,TRUE,TRUE,14,14
2020-05-31,1.119849702693685,1.2357891843948696,1.0039102209925002,1,1.1,224,127,TRUE,TRUE,14,14
2020-06-01,1.0986802575385262,1.2093279113027897,0.9880326037742626,1,1.1,225,95,TRUE,TRUE,14,14
2020-06-02,1.0827285647183813,1.1915905811719494,0.9738665482648133,1,1.1,251,235,TRUE,TRUE,14,14
2020-06-03,1.0746269757512135,1.1877036718963507,0.9615502796060762,1,1.1,227,277,TRUE,TRUE,14,14
2020-06-04,1.0709250241075536,1.1932789109723398,0.9485711372427674,1,1.1,231,256,TRUE,TRUE,14,14
2020-06-05,1.067197351390075,1.2002955226045902,0.9340991801755598,1,1.1,249,157,TRUE,TRUE,14,14
2020-06-06,1.0640852486943073,1.2040326425840382,0.9241378548045764,1,1.1,218,223,TRUE,TRUE,14,14
2020-06-07,1.0655719570726914,1.206663146105131,0.9244807680402518,1,1.1,268,139,TRUE,TRUE,14,14
2020-06-08,1.0739532139436894,1.2127672872748358,0.9351391406125429,1,1.1,252,107,TRUE,TRUE,14,14
2020-06-09,1.087856007831851,1.222209191431062,0.9535028242326401,1,1.1,273,411,TRUE,TRUE,14,14
2020-06-10,1.1059342382503277,1.233845340680692,0.9780231358199634,1,1.1,293,204,TRUE,TRUE,14,14
2020-06-11,1.1226927296076292,1.244992761400968,1.0003926978142905,1,1.1,270,275,TRUE,TRUE,14,14
2020-06-12,1.1308126002098673,1.2489047195023473,1.0127204809173873,1,1.1,280,275,TRUE,TRUE,14,14
2020-06-13,1.1272927969910156,1.2418119016215958,1.0127736923604354,1,1.1,277,231,TRUE,TRUE,14,14
2020-06-14,1.1208353564405016,1.2349191853463997,1.0067515275346035,1,1.1,292,183,TRUE,TRUE,14,14
2020-06-15,1.1228094861091658,1.2394352241544857,1.0061837480638458,1,1.1,304,153,TRUE,TRUE,14,14
2020-06-16,1.1349690550062839,1.2535398299140472,1.0163982800985205,1,1.1,347,281,TRUE,TRUE,14,14
2020-06-17,1.1497728689399738,1.2697373691082923,1.0298083687716553,1,1.1,323,233,TRUE,TRUE,14,14
2020-06-18,1.15989804565422,1.2816888149582113,1.0381072763502288,1,1.1,303,377,TRUE,TRUE,14,14
2020-06-19,1.1633180465497268,1.2858869424003174,1.0407491506991362,1,1.1,344,255,TRUE,TRUE,14,14
2020-06-20,1.1575844523992098,1.2791855561904995,1.0359833486079202,1,1.1,330,236,TRUE,TRUE,14,14
2020-06-21,1.141296296068047,1.259864573555954,1.0227280185801402,1,1.1,342,223,TRUE,TRUE,14,14
2020-06-22,1.120102295072003,1.2334722711261181,1.0067323190178878,1,1.1,373,184,TRUE,TRUE,14,14
2020-06-23,1.1039640704794726,1.2119858777183248,0.9959422632406204,1,1.1,353,488,TRUE,TRUE,14,14
2020-06-24,1.095614336211606,1.1995175629284254,0.9917111094947866,1,1.1,376,367,TRUE,TRUE,14,14
2020-06-25,1.0873945504802471,1.1883184589541276,0.9864706420063666,1,1.1,361,395,TRUE,TRUE,14,14
2020-06-26,1.073081519436393,1.1724688225803046,0.9736942162924814,1,1.1,358,311,TRUE,TRUE,14,14
2020-06-27,1.0557731023498504,1.1543418421553688,0.9572043625443322,1,1.1,387,267,TRUE,TRUE,14,14
2020-06-28,1.0407011911597508,1.1395729984735907,0.9418293838459109,1,1.1,400,176,TRUE,TRUE,14,14
2020-06-29,1.0346693371179767,1.1377636908261137,0.9315749834098398,1,1.1,420,171,TRUE,TRUE,14,14
2020-06-30,1.0438883853131349,1.1543792470984429,0.933397523527827,1,1.1,398,507,TRUE,TRUE,14,14
2020-07-01,1.0726357520945782,1.1893413464399991,0.9559301577491571,1,1.1,422,372,TRUE,TRUE,14,14
